date,energy_system,price_base,price_peak,price_offpeak,price_min,price_max,price_average
2024-09-28,ОЕС України (синхронізована з ENTSO-E),5274.75125,4549.83333333333,5999.66916666667,1389,9000,5592.58538680236
2024-09-29,ОЕС України (синхронізована з ENTSO-E),5639.36083333333,5369.03583333333,5909.68583333333,1939,9000,5977.11571898948
2024-09-30,ОЕС України (синхронізована з ENTSO-E),5015.93708333333,5391.00333333333,4640.87083333333,1939,9000,5418.99463279033
2024-10-01,ОЕС України (синхронізована з ENTSO-E),4888.48708333333,5346.75,4430.22416666667,1939,8945.32,5174.21399888488
2024-10-02,ОЕС України (синхронізована з ENTSO-E),3476.49958333333,3952,3000.99916666667,433,8900,3898.25702488628
2024-10-03,ОЕС України (синхронізована з ENTSO-E),3231.01833333333,3783.41666666667,2678.62,249.44,8900,3746.30336139557
2024-10-04,ОЕС України (синхронізована з ENTSO-E),3267.59083333333,3984.09833333333,2551.08333333333,130,8100,3778.89433448619
2024-10-05,ОЕС України (синхронізована з ENTSO-E),2909.995,3482.53666666667,2337.45333333333,100,8000,3298.14000978019
2024-10-06,ОЕС України (синхронізована з ENTSO-E),4216.04625,4954.21166666667,3477.88083333333,100,8948.61,4553.10462646815
2024-10-07,ОЕС України (синхронізована з ENTSO-E),5686.49625,6545.235,4827.7575,1500,9000,6028.54767965797
2024-10-08,ОЕС України (синхронізована з ENTSO-E),4750.64833333333,4877.88166666667,4623.415,350,9000,5102.19032421138
2024-10-09,ОЕС України (синхронізована з ENTSO-E),3616.80541666667,3782.6825,3450.92833333333,80,8953.14,4194.37362603464
2024-10-10,ОЕС України (синхронізована з ENTSO-E),4952.225,5440.17666666667,4464.27333333333,100,9000,5522.74726094955
2024-10-11,ОЕС України (синхронізована з ENTSO-E),6143.94125,6531.66666666667,5756.21583333333,1850,9000,6604.13008446769
2024-10-12,ОЕС України (синхронізована з ENTSO-E),6661.40458333333,6716.72583333333,6606.08333333333,5525,9000,6847.68842010196
2024-10-13,ОЕС України (синхронізована з ENTSO-E),3397.04708333333,3730.87416666667,3063.22,98,9000,3908.61370964335
2024-10-14,ОЕС України (синхронізована з ENTSO-E),5342.96208333333,5687.10833333333,4998.81583333333,300,9000,5673.62694269569
2024-10-15,ОЕС України (синхронізована з ENTSO-E),6318.37208333333,6572.01583333333,6064.72833333333,3900,9000,6481.73915804907
2024-10-16,ОЕС України (синхронізована з ENTSO-E),5306.16666666667,5381.66666666667,5230.66666666667,2050,9000,5484.06409479774
2024-10-17,ОЕС України (синхронізована з ENTSO-E),4792.5875,4655.83333333333,4929.34166666667,1054,9000,5057.96214198951
2024-10-18,ОЕС України (синхронізована з ENTSO-E),5881.68875,5316.8325,6446.545,2650,9000,5981.43718514247
2024-10-19,ОЕС України (синхронізована з ENTSO-E),6347.59458333333,6132.27666666667,6562.9125,2480,9000,6438.54382224511
2024-10-20,ОЕС України (синхронізована з ENTSO-E),5253.49625,4296.435,6210.5575,1920,9000,5415.17200340255
2024-10-21,ОЕС України (синхронізована з ENTSO-E),5658.75083333333,5210.19333333333,6107.30833333333,2130,9000,5782.79652586292
2024-10-22,ОЕС України (синхронізована з ENTSO-E),6096.28416666667,5905,6287.56833333333,3887,9000,6276.22629045081
2024-10-23,ОЕС України (синхронізована з ENTSO-E),5737.51875,5779.12083333333,5695.91666666667,3000,8888,5982.64319830365
2024-10-24,ОЕС України (синхронізована з ENTSO-E),5807.2575,5608.68166666667,6005.83333333333,2963,9000,5994.44725918959
2024-10-25,ОЕС України (синхронізована з ENTSO-E),6076.15458333333,6106.89333333333,6045.41583333333,3579.99,9000,6277.79901567077
2024-10-26,ОЕС України (синхронізована з ENTSO-E),5975.44541666667,5726.3725,6224.51833333333,2499,9000,6124.78095669883
2024-10-27,ОЕС України (синхронізована з ENTSO-E),5408.422,4786.91666666667,6118.9625,2010,8952.55,5553.10047887484
2024-10-28,ОЕС України (синхронізована з ENTSO-E),6213.48,6705.0975,5721.8625,2550,9000,6481.71927924761
2024-10-29,ОЕС України (синхронізована з ENTSO-E),6344.84291666667,6728.43583333333,5961.25,2550,9000,6585.78436794595
2024-10-30,ОЕС України (синхронізована з ENTSO-E),6558,6743.08333333333,6372.91666666667,4340,9000,6729.0288426972
2024-10-31,ОЕС України (синхронізована з ENTSO-E),6415.5375,6739.99166666667,6091.08333333333,4000,9000,6587.65886815449
2024-11-01,ОЕС України (синхронізована з ENTSO-E),5339.39625,5734.45916666667,4944.33333333333,3000,8900,5547.39430841831
2024-11-02,ОЕС України (синхронізована з ENTSO-E),5434.70833333333,5783.16666666667,5086.25,2550,8890,5760.08863919101
2024-11-03,ОЕС України (синхронізована з ENTSO-E),4901.16416666667,4960.82833333333,4841.5,2050,8910,5263.55030921392
2024-11-04,ОЕС України (синхронізована з ENTSO-E),5948.99916666667,6733.665,5164.33333333333,1100,8949.96,6259.9533919981
2024-11-05,ОЕС України (синхронізована з ENTSO-E),4993.21666666667,5440.76666666667,4545.66666666667,2050,8952.81,5322.03663919873
2024-11-06,ОЕС України (синхронізована з ENTSO-E),5008.58375,5479.33416666667,4537.83333333333,2050,9000,5306.7094482402
2024-11-07,ОЕС України (синхронізована з ENTSO-E),5246.15916666667,5325.4975,5166.82083333333,2535,8950.36,5454.25838535573
2024-11-08,ОЕС України (синхронізована з ENTSO-E),5479.86,6046.30333333333,4913.41666666667,2800,8930,5658.97431749417
2024-11-09,ОЕС України (синхронізована з ENTSO-E),5419.24375,6572.65416666667,4265.83333333333,2000,8940,5702.10032298957
2024-11-10,ОЕС України (синхронізована з ENTSO-E),4212.20208333333,4738.57083333333,3685.83333333333,800,8940,4549.91110804864
2024-11-11,ОЕС України (синхронізована з ENTSO-E),5962.5575,6751.6975,5173.4175,2500,8952.63,6231.58835602186
2024-11-12,ОЕС України (синхронізована з ENTSO-E),6276.00083333333,6770.9925,5781.00916666667,3794,9000,6499.10128258705
2024-11-13,ОЕС України (синхронізована з ENTSO-E),5826.17208333333,6775,4877.34416666667,1900,9000,6148.45113460017
2024-11-14,ОЕС України (синхронізована з ENTSO-E),5936.35375,6765.2075,5107.5,2500,9000,6177.7332088088
2024-11-15,ОЕС України (синхронізована з ENTSO-E),5390.4225,6744.345,4036.5,2049,8944.14,5716.39991337246
2024-11-16,ОЕС України (синхронізована з ENTSO-E),4019.25041666667,5173.08416666667,2865.41666666667,500,8800,4342.10851745826
2024-11-17,ОЕС України (синхронізована з ENTSO-E),4375.04166666667,4337.08333333333,4413,1999,8800,4597.62028175558
2024-11-18,ОЕС України (синхронізована з ENTSO-E),5982.5,6775,5190,2000,9000,6314.24323149186
2024-11-19,ОЕС України (синхронізована з ENTSO-E),6325.65833333333,6763.86916666667,5887.4475,3200,9000,6466.73047930159
2024-11-20,ОЕС України (синхронізована з ENTSO-E),5875.88958333333,6775,4976.77916666667,2000,9000,6126.31683299964
2024-11-21,ОЕС України (синхронізована з ENTSO-E),5787.89416666667,6771.01583333333,4804.7725,2500,9000,6052.84318824378
2024-11-22,ОЕС України (синхронізована з ENTSO-E),5858.31708333333,6768.79166666667,4947.8425,2980,9000,6060.40615832795
2024-11-23,ОЕС України (синхронізована з ENTSO-E),4717.41958333333,6113.58916666667,3321.25,500,8800,5044.08916655765
2024-11-24,ОЕС України (синхронізована з ENTSO-E),3606.07041666667,4175.11833333333,3037.0225,290,8940,4038.02580911032
2024-11-25,ОЕС України (синхронізована з ENTSO-E),3881.08333333333,4766.83333333333,2995.33333333333,219,8600,4145.95570513432
2024-11-26,ОЕС України (синхронізована з ENTSO-E),5075.73041666667,5642.8025,4508.65833333333,2500,8953.9,5271.24043137501
2024-11-27,ОЕС України (синхронізована з ENTSO-E),6060.08,6764.16,5356,3850,9000,6224.58325534269
2024-11-28,ОЕС України (синхронізована з ENTSO-E),5531.7175,6520.10166666667,4543.33333333333,2000,8900,5780.94389798279
2024-11-29,ОЕС України (синхронізована з ENTSO-E),5407.375,6637.91666666667,4176.83333333333,2500,8800,5625.01377116382
2024-11-30,ОЕС України (синхронізована з ENTSO-E),4427.33333333333,5612.5,3242.16666666667,1990,8400,4641.24202551303
2024-12-01,ОЕС України (синхронізована з ENTSO-E),6454.34208333333,6431.52166666667,6477.1625,5350,9000,6508.4711553959
2024-12-02,ОЕС України (синхронізована з ENTSO-E),6225.24208333333,6556.58333333333,5893.90083333333,4340,8340,6323.31595261722
2024-12-03,ОЕС України (синхронізована з ENTSO-E),6271.10583333333,6750,5792.21166666667,3890,8900,6355.83394780954
2024-12-04,ОЕС України (синхронізована з ENTSO-E),6118.95833333333,6716.66666666667,5521.25,3760,8800,6203.11913107701
2024-12-05,ОЕС України (синхронізована з ENTSO-E),6202.95708333333,6775,5630.91416666667,2890,9000,6461.20119826478
2024-12-06,ОЕС України (синхронізована з ENTSO-E),6350.415,6770.33,5930.5,3924,9000,6527.47836240301
2024-12-07,ОЕС України (синхронізована з ENTSO-E),5349.73958333333,6521.39583333333,4178.08333333333,2450,8500,5572.22211239028
2024-12-08,ОЕС України (синхронізована з ENTSO-E),5041.14958333333,6374.8825,3707.41666666667,1799,8944.44,5361.5246818464
2024-12-09,ОЕС України (синхронізована з ENTSO-E),5297.74125,6201.65,4393.8325,2000,8700,5560.98506164691
2024-12-10,ОЕС України (синхронізована з ENTSO-E),6330.70125,6770.8175,5890.585,3844,9000,6498.37997993372
