"","date","load_type","country","price","price_difference"
"253","2019-09-12","позапік","Словаччина",35.66,-16.35
"254","2019-09-12","позапік","Угорщина",49.31,15.67
"255","2019-09-12","позапік","Румунія",49.59,16.33
"256","2019-09-13","база","Україна",58.86,NA
"257","2019-09-13","база","Польща",241.95,311.06
"258","2019-09-13","база","Словаччина",38.94,-33.84
"259","2019-09-13","база","Угорщина",46.56,-20.9
"260","2019-09-13","база","Румунія",48.31,-17.92
"261","2019-09-13","пік","Україна",73.31,NA
"262","2019-09-13","пік","Польща",247.71,237.89
"263","2019-09-13","пік","Словаччина",42.65,-41.82
"264","2019-09-13","пік","Угорщина",51.27,-30.06
"265","2019-09-13","пік","Румунія",54.1,-26.2
"266","2019-09-13","позапік","Україна",44.41,NA
"267","2019-09-13","позапік","Польща",236.19,431.84
"268","2019-09-13","позапік","Словаччина",35.23,-20.67
"269","2019-09-13","позапік","Угорщина",41.85,-5.76
"270","2019-09-13","позапік","Румунія",42.52,-4.26
"271","2019-09-14","база","Україна",53.4,NA
"272","2019-09-14","база","Польща",221.34,314.49
"273","2019-09-14","база","Словаччина",36.68,-31.31
"274","2019-09-14","база","Угорщина",48.76,-8.69
"275","2019-09-14","база","Румунія",49.02,-8.2
"276","2019-09-14","пік","Україна",66.2,NA
"277","2019-09-14","пік","Польща",226.45,242.07
"278","2019-09-14","пік","Словаччина",36.99,-44.12
"279","2019-09-14","пік","Угорщина",52.62,-20.51
"280","2019-09-14","пік","Румунія",52.62,-20.51
"281","2019-09-14","позапік","Україна",40.59,NA
"282","2019-09-14","позапік","Польща",216.24,432.74
"283","2019-09-14","позапік","Словаччина",36.36,-10.42
"284","2019-09-14","позапік","Угорщина",44.9,10.62
"285","2019-09-14","позапік","Румунія",45.42,11.9
"286","2019-09-15","база","Україна",41.11,NA
"287","2019-09-15","база","Польща",154.16,274.99
"288","2019-09-15","база","Словаччина",28.7,-30.19
"289","2019-09-15","база","Угорщина",40.44,-1.63
"290","2019-09-15","база","Румунія",40.79,-0.78
"291","2019-09-15","пік","Україна",49.46,NA
"292","2019-09-15","пік","Польща",149.43,202.12
"293","2019-09-15","пік","Словаччина",28.16,-43.07
"294","2019-09-15","пік","Угорщина",45.6,-7.8
"295","2019-09-15","пік","Румунія",46.31,-6.37
"296","2019-09-15","позапік","Україна",32.76,NA
"297","2019-09-15","позапік","Польща",158.88,384.98
"298","2019-09-15","позапік","Словаччина",29.23,-10.78
"299","2019-09-15","позапік","Угорщина",35.27,7.66
"300","2019-09-15","позапік","Румунія",35.27,7.66
"301","2019-09-16","база","Україна",58.3,NA
"302","2019-09-16","база","Польща",216.87,271.99
"303","2019-09-16","база","Словаччина",44.74,-23.26
"304","2019-09-16","база","Угорщина",59.78,2.54
"305","2019-09-16","база","Румунія",65.47,12.3
"306","2019-09-16","пік","Україна",74.03,NA
"307","2019-09-16","пік","Польща",233.77,215.78
"308","2019-09-16","пік","Словаччина",50.58,-31.68
"309","2019-09-16","пік","Угорщина",72.71,-1.78
"310","2019-09-16","пік","Румунія",78.37,5.86
"311","2019-09-16","позапік","Україна",42.56,NA
"312","2019-09-16","позапік","Польща",199.97,369.85
"313","2019-09-16","позапік","Словаччина",38.9,-8.6
"314","2019-09-16","позапік","Угорщина",46.85,10.08
"315","2019-09-16","позапік","Румунія",52.56,23.5
"316","2019-09-17","база","Україна",58.62,NA
"317","2019-09-17","база","Польща",234.78,300.51
"318","2019-09-17","база","Словаччина",46.51,-20.66
"319","2019-09-17","база","Угорщина",56.96,-2.83
"320","2019-09-17","база","Румунія",62.29,6.26
"321","2019-09-17","пік","Україна",72.98,NA
"322","2019-09-17","пік","Польща",244.57,235.12
"323","2019-09-17","пік","Словаччина",53.87,-26.19
"324","2019-09-17","пік","Угорщина",63.52,-12.96
"325","2019-09-17","пік","Румунія",71.79,-1.63
"326","2019-09-17","позапік","Україна",44.26,NA
"327","2019-09-17","позапік","Польща",224.99,408.34
"328","2019-09-17","позапік","Словаччина",39.14,-11.57
"329","2019-09-17","позапік","Угорщина",50.4,13.87
"330","2019-09-17","позапік","Румунія",52.79,19.27
"331","2019-09-18","база","Україна",57.9,NA
"332","2019-09-18","база","Польща",240.79,315.87
"333","2019-09-18","база","Словаччина",38.12,-34.16
"334","2019-09-18","база","Угорщина",49.57,-14.39
"335","2019-09-18","база","Румунія",66.94,15.61
"336","2019-09-18","пік","Україна",71.5,NA
"337","2019-09-18","пік","Польща",259.79,263.34
"338","2019-09-18","пік","Словаччина",38.72,-45.85
"339","2019-09-18","пік","Угорщина",54.68,-23.52
"340","2019-09-18","пік","Румунія",81.97,14.64
"341","2019-09-18","позапік","Україна",44.3,NA
"342","2019-09-18","позапік","Польща",221.79,400.65
"343","2019-09-18","позапік","Словаччина",37.53,-15.28
"344","2019-09-18","позапік","Угорщина",44.45,0.34
"345","2019-09-18","позапік","Румунія",51.9,17.16
